make,model,year,engine,transmission,fuel,mileage,price
Toyota,Corolla,2013.0,1300.0,Manual,Petrol,145000,2870000.0
Toyota,Yaris,2021.0,1300.0,Manual,Petrol,60500,3585000.0
Suzuki,Swift,2017.0,1300.0,Manual,Petrol,87000,2250000.0
Honda,Civic,2017.0,1800.0,Automatic,Petrol,86000,4850000.0
Honda,Civic,2010.0,1300.0,Automatic,Petrol,157000,2850000.0
Suzuki,Swift,2019.0,1300.0,Manual,Petrol,45000,2675000.0
Honda,City,2018.0,1300.0,Automatic,Petrol,187000,3450000.0
Daihatsu,Move,2019.0,660.0,Automatic,Petrol,22517,3850000.0
Honda,City,2014.0,1300.0,Manual,Petrol,110000,2585000.0
Daihatsu,Move,2019.0,660.0,Automatic,Petrol,77450,3650000.0
Suzuki,Mehran,2019.0,796.0,Manual,Petrol,69000,1365000.0
Toyota,Yaris,2020.0,1300.0,Automatic,Petrol,40000,4300000.0
Daihatsu,Move,2019.0,660.0,Automatic,Petrol,47499,3850000.0
Daihatsu,Move,2019.0,660.0,Automatic,Petrol,69951,3550000.0
Honda,City,2010.0,1300.0,Automatic,Petrol,152000,2130000.0
Daihatsu,Mira,2006.0,660.0,Automatic,Petrol,130000,1520000.0
Mitsubishi,Pajero,1996.0,2400.0,Automatic,Petrol,196000,2500000.0
Suzuki,Cultus,2019.0,1000.0,Manual,Petrol,96200,2950000.0
Daihatsu,Move,2019.0,660.0,Automatic,Petrol,83465,3550000.0
Suzuki,Alto,2022.0,660.0,Manual,Petrol,34500,2200000.0
Suzuki,Cultus,2017.0,1000.0,Manual,Petrol,52500,2505000.0
Toyota,Corolla,2021.0,1798.0,Automatic,Petrol,27000,6850000.0
Honda,BR-V,2020.0,1500.0,Automatic,Petrol,67500,5175000.0
Toyota,Vitz,2020.0,1500.0,Automatic,Hybrid,42500,6250000.0
Suzuki,Alto,2020.0,660.0,Automatic,Petrol,9500,3400000.0
Honda,Civic,1999.0,1500.0,Automatic,Petrol,200000,1190000.0
Toyota,Yaris,2020.0,1000.0,Automatic,Petrol,32745,5390000.0
Toyota,Passo,2019.0,1000.0,Automatic,Petrol,35588,4290000.0
Honda,Civic,2018.0,1800.0,Automatic,Petrol,76000,5200000.0
Suzuki,Hustler,2015.0,660.0,Automatic,Petrol,62000,2500000.0
Toyota,Vitz,2019.0,996.0,Automatic,Petrol,51614,4990000.0
Toyota,Passo,2020.0,1000.0,Automatic,Petrol,19814,4350000.0
KIA,Sportage,2021.0,1999.0,Automatic,Petrol,43000,7750000.0
Toyota,Passo,2019.0,1000.0,Automatic,Petrol,33413,4390000.0
Daihatsu,Mira,2013.0,660.0,Automatic,Petrol,60000,2250000.0
Toyota,Vitz,2019.0,1000.0,Automatic,Petrol,41952,4850000.0
Suzuki,Liana,2006.0,1300.0,Manual,Petrol,180000,770000.0
Toyota,Vitz,2019.0,1000.0,Automatic,Petrol,38784,4950000.0
Honda,Civic,2005.0,1500.0,Manual,Petrol,76000,1875000.0
Honda,City,2013.0,1500.0,Automatic,Petrol,124000,2575000.0
Honda,Civic,1999.0,1600.0,Automatic,Petrol,100000,1050000.0
Toyota,Aqua,2013.0,1500.0,Automatic,Hybrid,118000,3580000.0
Nissan,Dayz,2014.0,660.0,Automatic,Petrol,93000,2250000.0
Toyota,Corolla,2018.0,1600.0,Automatic,Petrol,85000,4500000.0
Toyota,Corolla,2013.0,1300.0,Manual,Petrol,129000,3150000.0
Honda,Civic,2017.0,1800.0,Automatic,Petrol,117000,4900000.0
Toyota,Corolla,2019.0,1300.0,Manual,Petrol,92000,4700000.0
Honda,Civic,2013.0,1800.0,Automatic,Petrol,81000,3800000.0
Toyota,Vitz,2017.0,1500.0,Automatic,Hybrid,31000,5100000.0
Toyota,Corolla,2015.0,1300.0,Manual,Petrol,96000,3450000.0
Honda,Civic,2015.0,1800.0,Manual,Petrol,126000,2975000.0
Honda,City,2018.0,1300.0,Automatic,Petrol,76000,3900000.0
Honda,Vezel,2014.0,1500.0,Automatic,Hybrid,110000,4740000.0
Suzuki,Every,2014.0,660.0,Automatic,Petrol,130500,1900000.0
Honda,Civic,2006.0,1500.0,Manual,Petrol,200000,1325000.0
Toyota,Raize,2020.0,996.0,Automatic,Petrol,18500,5850000.0
Honda,Vezel,2014.0,1500.0,Automatic,Hybrid,82000,5200000.0
Toyota,Corolla,2022.0,1598.0,Automatic,Petrol,8500,6925000.0
